Time	Ipri_tank
0.00199601	-2.782337674
0.001996015	-2.810468118
0.00199602	-3.056636359
0.001996025	-3.067048738
0.00199603	-2.83649922
0.001996035	-2.819968358
0.00199604	-3.043753793
0.001996045	-3.052633303
0.00199605	-2.799155027
0.001996055	-2.853539399
0.00199606	-2.915511743
0.001996065	-2.91810062
0.00199607	-2.861219002
0.001996075	-2.803840516
0.00199608	-2.74580924
0.001996085	-2.687140636
0.00199609	-2.627850449
0.001996095	-2.567954425
0.0019961	-2.507468537
0.001996105	-2.446408871
0.00199611	-2.384791514
0.001996115	-2.322632895
0.00199612	-2.259949326
0.001996125	-2.196757464
0.00199613	-2.133073735
0.001996135	-2.06891491
0.00199614	-2.004297926
0.001996145	-1.939239553
0.00199615	-1.873756901
0.001996155	-1.807866909
0.00199616	-1.741586743
0.001996165	-1.674933685
0.00199617	-1.607924958
0.001996175	-1.540578012
0.00199618	-1.472910185
0.001996185	-1.404938871
0.00199619	-1.336681635
0.001996195	-1.268156097
0.0019962	-1.199379824
0.001996205	-1.130370322
0.00199621	-1.061145383
0.001996215	-0.991722629
0.00199622	-0.922119796
0.001996225	-0.852354674
0.00199623	-0.782444886
0.001996235	-0.71240828
0.00199624	-0.642262592
0.001996245	-0.572025556
0.00199625	-0.501714851
0.001996255	-0.431348326
0.00199626	-0.360943602
0.001996265	-0.290518528
0.00199627	-0.220090726
0.001996275	-0.14967776
0.00199628	-0.079297365
0.001996285	-0.008967106
0.00199629	0.061295509
0.001996295	0.131472916
0.0019963	0.201547721
0.001996305	0.271502415
0.00199631	0.341319776
0.001996315	0.410982523
0.00199632	0.480473375
0.001996325	0.549775166
0.00199633	0.618870899
0.001996335	0.687743579
0.00199634	0.756376267
0.001996345	0.824752135
0.00199635	0.89285453
0.001996355	0.960666739
0.00199636	1.028172221
0.001996365	1.095354662
0.00199637	1.162197691
0.001996375	1.228684994
0.00199638	1.294800654
0.001996385	1.360528586
0.00199639	1.425852986
0.001996395	1.490758109
0.0019964	1.555228323
0.001996405	1.61924828
0.00199641	1.68280269
0.001996415	1.745876204
0.00199642	1.808453931
0.001996425	1.870520975
0.00199643	1.93206256
0.001996435	1.993064132
0.00199644	2.053511366
0.001996445	2.113389939
0.00199645	2.172685811
0.001996455	2.231384997
0.00199646	2.289473912
0.001996465	2.346938857
0.00199647	2.403766473
0.001996475	2.459943687
0.00199648	2.515457311
0.001996485	2.570294669
0.00199649	2.624443084
0.001996495	2.677890052
0.0019965	2.730623464
0.001996505	2.78263127
0.00199651	2.833901476
0.001996515	2.884422656
0.00199652	2.934183328
0.001996525	2.98317218
0.00199653	3.031378355
0.001996535	3.078791053
0.00199654	3.125399587
0.001996545	3.171193782
0.00199655	3.216163464
0.001996555	3.26029874
0.00199656	3.303590006
0.001996565	3.346027654
0.00199657	3.387602646
0.001996575	3.428305945
0.00199658	3.468128853
0.001996585	3.5070629
0.00199659	3.545099673
0.001996595	3.582231443
0.0019966	3.618450137
0.001996605	3.653748365
0.00199661	3.688118795
0.001996615	3.721554492
0.00199662	3.754048578
0.001996625	3.785594458
0.00199663	3.816185995
0.001996635	3.845817048
0.00199664	3.874481877
0.001996645	3.902174967
0.00199665	3.928890976
0.001996655	3.954624901
0.00199666	3.979372025
0.001996665	4.003127799
0.00199667	4.025888018
0.001996675	4.047648702
0.00199668	4.068406042
0.001996685	4.088156743
0.00199669	4.106897393
0.001996695	4.124625207
0.0019967	4.141337456
0.001996705	4.15703164
0.00199671	4.171705768
0.001996715	4.185357795
0.00199672	4.197986129
0.001996725	4.20958952
0.00199673	4.220166659
0.001996735	4.229716865
0.00199674	4.238239512
0.001996745	4.245734203
0.00199675	4.252200938
0.001996755	4.257639887
0.00199676	4.262051618
0.001996765	4.265436701
0.00199677	4.267796157
0.001996775	4.269131352
0.00199678	4.26944365
0.001996785	4.268734813
0.00199679	4.26700683
0.001996795	4.264262031
0.0019968	4.260502919
0.001996805	4.255732335
0.00199681	4.249953179
0.001996815	4.243168803
0.00199682	4.235382676
0.001996825	4.226598605
0.00199683	4.216820685
0.001996835	4.206053006
0.00199684	4.194300288
0.001996845	4.181567135
0.00199685	4.167858606
0.001996855	4.15317993
0.00199686	4.137536564
0.001996865	4.120934307
0.00199687	4.103378956
0.001996875	4.084876764
0.00199688	4.065434155
0.001996885	4.045057779
0.00199689	4.0237544
0.001996895	4.001531181
0.0019969	3.978395455
0.001996905	3.954354668
0.00199691	3.929416607
0.001996915	3.903589231
0.00199692	3.876880726
0.001996925	3.849299503
0.00199693	3.82085409
0.001996935	3.791553297
0.00199694	3.761406219
0.001996945	3.730421952
0.00199695	3.69860993
0.001996955	3.665979762
0.00199696	3.632541222
0.001996965	3.598304318
0.00199697	3.563279108
0.001996975	3.52747611
0.00199698	3.490905726
0.001996985	3.453578699
0.00199699	3.415505944
0.001996995	3.37669843
0.001997	3.337167414
0.001997005	3.093283226
0.00199701	2.782337162
0.001997015	2.810467493
0.00199702	3.056636672
0.001997025	3.067049079
0.00199703	2.836498709
0.001997035	2.819967762
0.00199704	3.043754049
0.001997045	3.052633701
0.00199705	2.799154544
0.001997055	2.853537495
0.00199706	2.91550981
0.001997065	2.918098687
0.00199707	2.861217098
0.001997075	2.80383864
0.00199708	2.745807336
0.001997085	2.68713876
0.00199709	2.627848545
0.001997095	2.567952549
0.0019971	2.507466689
0.001997105	2.446406995
0.00199711	2.384789724
0.001997115	2.322631104
0.00199712	2.259947536
0.001997125	2.196755617
0.00199713	2.133071916
0.001997135	2.068913147
0.00199714	2.004296135
0.001997145	1.939237819
0.00199715	1.87375511
0.001997155	1.807865146
0.00199716	1.74158501
0.001997165	1.67493198
0.00199717	1.607923309
0.001997175	1.540576335
0.00199718	1.47290848
0.001997185	1.404937223
0.00199719	1.336680043
0.001997195	1.268154506
0.0019972	1.199378175
0.001997205	1.13036873
0.00199721	1.06114382
0.001997215	0.991721095
0.00199722	0.922118318
0.001997225	0.852353168
0.00199723	0.782443436
0.001997235	0.71240683
0.00199724	0.642261142
0.001997245	0.572024106
0.00199725	0.50171343
0.001997255	0.431346933
0.00199726	0.360942266
0.001997265	0.290517193
0.00199727	0.220089362
0.001997275	0.149676453
0.00199728	0.079296115
0.001997285	0.008965827
0.00199729	-0.061296731
0.001997295	-0.131474138
0.0019973	-0.201548886
0.001997305	-0.271503609
0.00199731	-0.341320941
